09/25/2024 21:17:06.452010 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=54 |You said pxqow. Don't you know how to play ping pong?.|
09/25/2024 21:17:06.452097 ./pingserver:     C150DgmSocket::write: Success writing packet with len=54 |You said pxqow. Don't you know how to play ping pong?.|
09/25/2024 21:17:08.302132 ./pingserver:     C150DgmSocket::read: successful read with len=9 |pokcfqop.|
09/25/2024 21:17:08.302155 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 9 |pokcfqop.|
09/25/2024 21:17:08.302192 ./pingserver:     Successfully read 9 bytes. Message="pokcfqop"
09/25/2024 21:17:08.302211 ./pingserver:     Responding with message="You said pokcfqop. Don't you know how to play ping pong?"
09/25/2024 21:17:08.302236 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=57 |You said pokcfqop. Don't you know how to play ping pong?.|
09/25/2024 21:17:08.302300 ./pingserver:     C150DgmSocket::write: Success writing packet with len=57 |You said pokcfqop. Don't you know how to play ping pong?.|
09/25/2024 21:17:12.549437 ./pingserver:     C150DgmSocket::read: successful read with len=6 |ocwpk.|
09/25/2024 21:17:12.549457 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 6 |ocwpk.|
09/25/2024 21:17:12.549476 ./pingserver:     Successfully read 6 bytes. Message="ocwpk"
09/25/2024 21:17:12.549494 ./pingserver:     Responding with message="You said ocwpk. Don't you know how to play ping pong?"
09/25/2024 21:17:12.549531 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=54 |You said ocwpk. Don't you know how to play ping pong?.|
09/25/2024 21:17:12.549592 ./pingserver:     C150DgmSocket::write: Success writing packet with len=54 |You said ocwpk. Don't you know how to play ping pong?.|
09/25/2024 21:17:13.745561 ./pingserver:     C150DgmSocket::read: successful read with len=6 |qxjow.|
09/25/2024 21:17:13.745581 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 6 |qxjow.|
09/25/2024 21:17:13.745599 ./pingserver:     Successfully read 6 bytes. Message="qxjow"
09/25/2024 21:17:13.745618 ./pingserver:     Responding with message="You said qxjow. Don't you know how to play ping pong?"
09/25/2024 21:17:13.745642 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=54 |You said qxjow. Don't you know how to play ping pong?.|
09/25/2024 21:17:13.745692 ./pingserver:     C150DgmSocket::write: Success writing packet with len=54 |You said qxjow. Don't you know how to play ping pong?.|
09/25/2024 21:17:14.919469 ./pingserver:     C150DgmSocket::read: successful read with len=9 |xnfiqeqi.|
09/25/2024 21:17:14.919490 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 9 |xnfiqeqi.|
09/25/2024 21:17:15.923891 ./pingserver:     C150DgmSocket::read: successful read with len=9 |xnfiqeqi.|
09/25/2024 21:17:15.923912 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 9 |xnfiqeqi.|
09/25/2024 21:17:16.947888 ./pingserver:     C150DgmSocket::read: successful read with len=9 |xnfiqeqi.|
09/25/2024 21:17:16.947908 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 9 |xnfiqeqi.|
09/25/2024 21:17:16.947926 ./pingserver:     Successfully read 9 bytes. Message="xnfiqeqi"
09/25/2024 21:17:16.947945 ./pingserver:     Responding with message="You said xnfiqeqi. Don't you know how to play ping pong?"
09/25/2024 21:17:16.947968 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=57 |You said xnfiqeqi. Don't you know how to play ping pong?.|
09/25/2024 21:17:16.948030 ./pingserver:     C150DgmSocket::write: Success writing packet with len=57 |You said xnfiqeqi. Don't you know how to play ping pong?.|
09/25/2024 21:17:18.644872 ./pingserver:     C150DgmSocket::read: successful read with len=13 |xjfeiwjfeiwq.|
09/25/2024 21:17:18.644893 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 13 |xjfeiwjfeiwq.|
09/25/2024 21:17:19.699817 ./pingserver:     C150DgmSocket::read: successful read with len=13 |xjfeiwjfeiwq.|
09/25/2024 21:17:19.699837 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 13 |xjfeiwjfeiwq.|
09/25/2024 21:17:19.699856 ./pingserver:     Successfully read 13 bytes. Message="xjfeiwjfeiwq"
09/25/2024 21:17:19.699874 ./pingserver:     Responding with message="You said xjfeiwjfeiwq. Don't you know how to play ping pong?"
09/25/2024 21:17:19.699897 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=61 |You said xjfeiwjfeiwq. Don't you know how to play ping pong?.|
09/25/2024 21:17:19.699949 ./pingserver:     C150DgmSocket::write: Success writing packet with len=61 |You said xjfeiwjfeiwq. Don't you know how to play ping pong?.|
